name,slug,address,phone,description,providers,url
Women’s Health | Bishop Arts District in Dallas,gynecologist-dallas-bishop-arts,,214-942-3100,"Discover exceptional women’s healthcare at Stella Mattina’s Women’s Specialty Center at Bishop Arts in Dallas. We provide excellent obstetrics, gynecology, and fertility care. Book your consultation and benefit from:",,https://stellamattina.com/our-locations/gynecologist-dallas-bishop-arts/
Women’s Health | Dallas - Samuell,gynecologist-dallas-tx-samuell,,214-942-3100,"At Stella Mattina’s Women’s Specialty Center on Samuell Blvd in Dallas, we offer a wide range of women’s healthcare services, from routine exams to specialized treatments. Come visit us and benefit from:",,https://stellamattina.com/our-locations/gynecologist-dallas-tx-samuell/
"Women’s Health | Arlington, TX",obgyn-arlington-tx,,214-942-3100,"Stella Mattina offers comprehensive healthcare services, conveniently located in Arlington, TX designed to meet your unique needs. Book your consultation and benefit from:",,https://stellamattina.com/our-locations/obgyn-arlington-tx/
"Women’s Health | Mesquite, TX",obgyn-in-mesquite,,214-942-3100,"At Stella Mattina’s Women’s Health Center in Mesquite, we focus on delivering excellence in healthcare services for women at any stage of life. Schedule your consultation with us and benefit from:",,https://stellamattina.com/our-locations/obgyn-in-mesquite/
Family Medicine | Dallas - Buckner,primary-care-doctor-for-men,,214-942-3100,,,https://stellamattina.com/our-locations/primary-care-doctor-for-men/
Family Medicine | Dallas - North,primary-care-doctor-north-dallas,,214-942-3100,"At Stella Mattina’s Primary Care Center in North Dallas, we are passionate about providing top-tier care for all your family’s unique needs. Visit us and benefit from:",,https://stellamattina.com/our-locations/primary-care-doctor-north-dallas/
Family Medicine | Carrollton - Texas,primary-care-physician-carrollton-tx,,214-942-3100,"At Stella Mattina’s Complete Family Wellness Center in Carrollton, you’ll find all the services your family requires during the year. Schedule your consultation today to benefit from:",,https://stellamattina.com/our-locations/primary-care-physician-carrollton-tx/
